goal,level,day,title,exercises,notes
flexibility,advanced,friday,Expert Deep Stretching,"15 min warm-up: Gentle movements,Expert Deep Stretching:,- 4x120 sec Hamstring Stretch,- 4x120 sec Quad Stretch,- 4x120 sec Shoulder Stretch,- 4x120 sec Hip Flexor Stretch,Expert Poses:,- 4x90 sec Advanced Pigeon,- 4x90 sec Advanced Frog,- 4x90 sec Advanced Butterfly,25 min Cool down: Deep breathing","Focus on maximum relaxation. Deep breathing."
flexibility,advanced,saturday,Expert Yoga & Mobility,"15 min warm-up: Gentle stretches,Expert Yoga Flow:,- Sun salutations (8 rounds),- Expert warrior poses (Hold each for 90 seconds),- Expert balance poses (Hold each for 60 seconds),- Expert hip openers (Hold each for 90 seconds),Expert Mobility:,- 4x15 Hip Circles,- 4x15 Shoulder Dislocates,- 4x15 Ankle Circles,25 min Cool down: Deep breathing","Focus on expert flow and maximum mobility."
weight-loss,intermediate,saturday,Cardio Blast,"15 min warm-up: Dynamic stretches,Cardio Circuit (5 rounds):,- 400m Run,- 30 Jump Rope,- 20 Box Jumps,- 15 Burpees,Strength: 3x12 of each,- Kettlebell Swings,- Medicine Ball Slams,- Battle Ropes,20 min Cool down: Stretching","Maintain high intensity. Focus on form."
weight-loss,intermediate,sunday,Active Recovery,"45 min Light activity:,- Walking (Brisk pace),- Cycling (Easy resistance),- Swimming (Leisurely pace),Stretching:,- Full body stretch routine,- Focus on tight areas,15 min Cool down: Deep breathing","Keep intensity low. Focus on recovery."
weight-loss,advanced,saturday,Extreme Cardio,"20 min warm-up: Dynamic movements,Cardio Circuit (6 rounds):,- 500m Row,- 40 Double Unders,- 25 Box Jumps,- 20 Burpee Box Jumps,Strength: 4x15 of each,- Heavy Kettlebell Swings,- Explosive Medicine Ball Throws,- Battle Ropes,25 min Cool down: Stretching","Maximum intensity. Focus on power output."
weight-loss,advanced,sunday,Advanced Recovery,"60 min Light activity:,- Walking (Brisk pace),- Cycling (Easy resistance),- Swimming (Leisurely pace),Stretching:,- Advanced stretch routine,- Focus on tight areas,20 min Cool down: Deep breathing","Focus on deep recovery. Stay hydrated."
muscle-gain,intermediate,friday,Back & Biceps,"15 min warm-up: Dynamic stretches,Back:,- 4x8-10 Deadlifts,- 4x8-10 Pull-ups,- 4x8-10 Bent-over Rows,- 4x8-10 Lat Pulldowns,Biceps:,- 4x10-12 Barbell Curls,- 4x10-12 Hammer Curls,- 4x10-12 Preacher Curls,Accessory: 3x12 of each,- Face Pulls,- Reverse Flyes,- Shrugs,20 min Cool down: Stretching","Focus on mind-muscle connection. 60-90 sec rest between sets."
muscle-gain,intermediate,saturday,Chest & Triceps,"15 min warm-up: Dynamic stretches,Chest:,- 4x8-10 Bench Press,- 4x8-10 Incline Press,- 4x8-10 Dumbbell Flyes,- 4x8-10 Dips,Triceps:,- 4x10-12 Skull Crushers,- 4x10-12 Tricep Pushdowns,- 4x10-12 Overhead Extensions,Accessory: 3x12 of each,- Cable Crossovers,- Push-ups,- Dips,20 min Cool down: Stretching","Focus on full range of motion. 60-90 sec rest between sets."
muscle-gain,advanced,friday,Advanced Back & Biceps,"20 min warm-up: Dynamic movements,Back:,- 5x5 Heavy Deadlifts,- 5x5 Weighted Pull-ups,- 5x5 Heavy Rows,- 5x5 Heavy Lat Pulldowns,Biceps:,- 5x8-10 Heavy Barbell Curls,- 5x8-10 Heavy Hammer Curls,- 5x8-10 Heavy Preacher Curls,Accessory: 4x10 of each,- Heavy Face Pulls,- Heavy Reverse Flyes,- Heavy Shrugs,25 min Cool down: Stretching","Focus on maximum weight. 90-120 sec rest between sets."
muscle-gain,advanced,saturday,Advanced Chest & Triceps,"20 min warm-up: Dynamic movements,Chest:,- 5x5 Heavy Bench Press,- 5x5 Heavy Incline Press,- 5x5 Heavy Dips,- 5x5 Heavy Flyes,Triceps:,- 5x8-10 Heavy Skull Crushers,- 5x8-10 Heavy Pushdowns,- 5x8-10 Heavy Overhead Extensions,Accessory: 4x10 of each,- Heavy Cable Crossovers,- Weighted Push-ups,- Weighted Dips,25 min Cool down: Stretching","Focus on maximum weight. 90-120 sec rest between sets."
endurance,intermediate,friday,Long Run,"15 min warm-up: Dynamic stretches,Cardio: 75 min steady-state (run),Cool down: 20 min stretching","Maintain consistent pace. Focus on breathing."
endurance,intermediate,saturday,Recovery Run,"15 min warm-up: Dynamic stretches,Cardio: 45 min easy pace (run),Cool down: 20 min stretching","Keep intensity low. Focus on recovery."
endurance,advanced,friday,Ultra Long Run,"20 min warm-up: Dynamic movements,Cardio: 120 min steady-state (run),Cool down: 25 min stretching","Maintain consistent pace. Focus on mental endurance."
endurance,advanced,saturday,Advanced Recovery,"20 min warm-up: Dynamic movements,Cardio: 60 min easy pace (run),Cool down: 25 min stretching","Focus on deep recovery. Stay hydrated."
weight-loss,intermediate,sunday,CrossFit Style,"15 min warm-up: Dynamic stretches,WOD (Workout of the Day):,- 21-15-9 Reps of:,- Box Jumps (24 inch),- Kettlebell Swings (24kg),- Burpees,For Time:,- 400m Run,- 30 Wall Balls (20lb),- 30 Double Unders,20 min Cool down: Stretching","Complete as fast as possible with good form. Scale weights as needed."
muscle-gain,intermediate,sunday,German Volume Training,"15 min warm-up: Dynamic stretches,Strength Training:,- 10x10 Back Squats (60% 1RM),- 10x10 Bench Press (60% 1RM),- 10x10 Bent-over Rows (60% 1RM),Accessory: 3x12 of each,- Tricep Pushdowns,- Bicep Curls,- Lateral Raises,20 min Cool down: Stretching","Rest 60 seconds between sets. Focus on perfect form."
endurance,intermediate,sunday,Hill Repeats,"15 min warm-up: Dynamic stretches,Cardio:,- 10 min Easy jog,- 8x Hill Sprints (30-45 sec each),- 2 min Walk recovery between sprints,- 10 min Easy jog,Cool down: 20 min stretching","Find a steep hill. Focus on power and form during sprints."
flexibility,intermediate,sunday,Yin Yoga,"10 min warm-up: Gentle movements,Yin Yoga Sequence:,- Dragon Pose (3 min each side),- Saddle Pose (3 min),- Butterfly Pose (3 min),- Seal Pose (3 min),- Child's Pose (3 min),- Corpse Pose (5 min),20 min Cool down: Deep breathing","Hold poses for longer duration. Focus on deep relaxation."
weight-loss,advanced,sunday,CrossFit Hero WOD,"20 min warm-up: Dynamic movements,WOD:,- 5 Rounds for Time:,- 400m Run,- 30 Box Jumps (30 inch),- 30 Wall Balls (30lb),- 30 Burpees,- 30 Pull-ups,25 min Cool down: Stretching","Complete as fast as possible. Scale movements as needed."
muscle-gain,advanced,sunday,Power Building,"20 min warm-up: Dynamic movements,Strength Training:,- 5x5 Heavy Squats (85% 1RM),- 5x5 Heavy Bench Press (85% 1RM),- 5x5 Heavy Deadlifts (85% 1RM),Hypertrophy: 4x12 of each,- Leg Press,- Incline Press,- Rows,25 min Cool down: Stretching","Focus on power in heavy sets, volume in hypertrophy work."
endurance,advanced,sunday,Advanced Hill Training,"20 min warm-up: Dynamic movements,Cardio:,- 15 min Easy jog,- 10x Hill Sprints (45-60 sec each),- 90 sec Walk recovery between sprints,- 15 min Easy jog,Cool down: 25 min stretching","Find a challenging hill. Focus on maintaining form under fatigue." 
